MassCatID,MassCatNA,MassCatValue,MassCatPFix,MassCatUnit
1,Small,0.9,M,g
2,Medium,1.3,M,g
3,Large,1.6,M,g
4,Average moto,0.015,M,g
11,Mini,2.5,M,g
12,Urban,8,M,g
13,Coach,8,M,g
21,PanelSideVan,1.6,M,g
22,Medium,8,M,g
23,Heavy,12,M,g
24,CarDerivedVan,1.6,M,g
25,Pickup4x4Van,1.6,M,g
26,DropAndTipVan,1.6,M,g
27,BoxLutonInsVan,1.6,M,g
28,OtherVan,1.6,M,g
31,Light,150,M,g
32,Regional,375,M,g
33,National,685,M,g
34,High Speed,400,M,g
35,Maglev,250,M,g
41,General Aviation,4,M,g
42,Short Distance,32,M,g
43,Middle Distance,57,M,g
44,Long Distance,180,M,g
45,Supersonic,250,M,g
51,River,900,M,g
52,Coastal,9300,M,g
53,Maritime,9300,M,g
