ID,AB,NA
1,CONV,Conventional (pre-EURO)
2,ECO,Economic (incl. catalyst)
3,EURO1,Euro 1 (1992-96)
4,EURO2,Euro 2 (1996-2001)
5,EURO3,Euro 3 (2001-05)
6,EURO4,Euro 4 (2005-09)
7,STD1,Standard 1
8,STD2,Standard 2
9,STD3,Standard 3
10,2TSTD1,2-Stroke Standard 1
11,2TSTD2,2-Stroke Standard 2
12,2TECO,2-Stroke Economic
13,FC,Fuel Cell
14,EURO5,Euro 5 (2009-14)
15,EURO6,Euro 6 (2015-19)
16,EURO7,Euro 7 (2020-24)
17,EURO8,Euro 8 (2025-29)
18,EURO9,Euro 9 (2030-34)
19,EURO10,Euro 10 (2035-39)
20,EURO11,Euro 11 (2040-44)
21,EURO12,Euro 12 (2045-49)
22,EURO13,Euro 13 (2050-54)
23,EURO14,Euro 14 (2055-59)
24,EURO15,Euro 15 (2060-64)
25,EURO16,Euro 16 (2065-69)
26,EURO17,Euro 17 (2070-74)
27,EURO18,Euro 18 (2075-79)
28,EURO19,Euro 19 (2080-84)
29,EURO20,Euro 20 (2085-89)
30,EURO21,Euro 21 (2090-94)
31,EURO22,Euro 22 (2095-2100)
