EmissionID,Year,TechID,ETypeID,ED_PFix,Value,Unit
2,2012,10,ED,M,0.0022494571728999997,Mg
2,2012,30,ED,M,0.053989876162,Mg
2,2012,40,ED,M,0.022340040340000002,Mg
2,2012,70,ED,M,0.010342128387,Mg
2,2012,80,ED,M,0.035470340213999994,Mg
2,2012,90,ED,M,0.0015916427576999998,Mg
2,2012,100,ED,M,0.025665334048,Mg
2,2012,110,ED,M,0.05452891394,Mg
2,2012,120,ED,M,0.030488327761999997,Mg
2,2012,130,ED,M,0.014039604066,Mg
2,2012,140,ED,M,0.066264566163,Mg
2,2012,150,ED,M,0.0026764275364999997,Mg
2,2012,160,ED,M,0.031549951907999994,Mg
2,2012,161,ED,M,5.235509753e-6,Mg
2,2012,170,ED,M,0.10431608251999999,Mg
2,2012,181,ED,M,0.05589200475499999,Mg
2,2012,190,ED,M,0.0021658452373,Mg
2,2012,191,ED,M,6.548627495e-6,Mg
2,2012,200,ED,M,0.024492972355000003,Mg
2,2012,210,ED,M,3.3587349028999994e-4,Mg
2,2012,220,ED,M,0.0042886641234,Mg
2,2012,230,ED,M,0.0218028006,Mg
2,2012,240,ED,M,0.016252006716,Mg
2,2012,250,ED,M,6.135076856e-5,Mg
2,2012,260,ED,M,0.0057538890998,Mg
2,2012,261,ED,M,6.193603978e-6,Mg
2,2012,265,ED,M,0.005637195267099999,Mg
2,2012,270,ED,M,2.7145134628999997e-5,Mg
2,2012,280,ED,M,0.0014190832367,Mg
2,2012,290,ED,M,0.0023720240861000003,Mg
2,2012,291,ED,M,6.166015088e-6,Mg
2,2012,295,ED,M,0.0029128609775,Mg
2,2012,300,ED,M,0.0043333608247,Mg
2,2012,302,ED,M,2.1771722615e-5,Mg
2,2012,305,ED,M,0.0040913609764,Mg
2,2012,310,ED,M,1.1361773431e-5,Mg
2,2012,320,ED,M,0.0011862872086,Mg
2,2012,330,ED,M,5.1160840690000006e-6,Mg
2,2012,340,ED,M,5.2901929672e-4,Mg
2,2012,350,ED,M,0.0012085285835,Mg
2,2012,351,ED,M,1.2188090000000001e-9,Mg
2,2012,360,ED,M,0.0024315310595,Mg
2,2012,361,ED,M,1.4542887880000002e-6,Mg
2,2012,362,ED,M,3.7803434999999994e-8,Mg
2,2012,363,ED,M,0.0037983511956999998,Mg
2,2012,386,ED,M,4.4496300000000006e-07,Mg
2,2012,400,ED,M,1.5930221413999998e-4,Mg
2,2012,410,ED,M,1.1142045116999999e-4,Mg
2,2012,411,ED,M,4.557583952e-5,Mg
2,2012,430,ED,M,2.8333238659999996e-6,Mg
2,2012,431,ED,M,1.9244712683999998e-4,Mg
2,2012,442,ED,M,1.7157851816999998e-5,Mg
2,2012,460,ED,M,6.39043542e-7,Mg
2,2012,461,ED,M,5.4787709946999994e-5,Mg
2,2012,470,ED,M,2.718131e-9,Mg
2,2012,471,ED,M,1.9220993575e-5,Mg
2,2012,611,ED,M,2.2647529000000007e-8,Mg
2,2012,620,ED,M,2.5044144152e-4,Mg
2,2012,630,ED,M,4.035153541999999e-4,Mg
2,2012,631,ED,M,1.45815419e-7,Mg
2,2012,640,ED,M,0.0030356406249999997,Mg
2,2012,670,ED,M,0.0030049232790000002,Mg
2,2012,690,ED,M,2.849420071e-6,Mg
2,2012,691,ED,M,7.303959999999999e-10,Mg
2,2012,700,ED,M,1.235463276e-4,Mg
2,2012,720,ED,M,1.0480749010000002e-5,Mg
2,2012,810,ED,M,8.607130765999998e-6,Mg
2,2012,811,ED,M,1.5994412000000003e-8,Mg
2,2012,850,ED,M,3.840394497e-6,Mg
2,2012,852,ED,M,7.778509000000001e-8,Mg
2,2012,853,ED,M,6.5611589e-7,Mg
2,2012,857,ED,M,2.4057845000000004e-7,Mg
2,2012,865,ED,M,5.344131589999999e-7,Mg
2,2012,870,ED,M,0.0010496427610000001,Mg
2,2012,890,ED,M,7.886902466000001e-4,Mg
2,2012,970,ED,M,3.4413619229999997e-4,Mg
2,2012,980,ED,M,0.0024046204829999995,Mg
2,2012,1040,ED,M,7.558173827999999e-4,Mg
2,2012,1041,ED,M,2.423402667e-6,Mg
2,2012,1130,ED,M,7.464292755e-4,Mg
2,2012,1131,ED,M,5.7890211e-7,Mg
2,2012,1132,ED,M,1.2526789090000002e-4,Mg
2,2012,1142,ED,M,2.8030017800000005e-7,Mg
2,2012,1152,ED,M,9.524081135e-5,Mg
2,2012,1153,ED,M,1.139891701e-4,Mg
2,2012,1158,ED,M,4.201626443999999e-5,Mg
2,2012,1159,ED,M,2.761591377e-4,Mg
2,2012,1163,ED,M,1.1278922270000001e-4,Mg
2,2012,1164,ED,M,1.4009911119999995e-6,Mg
2,2012,1166,ED,M,1.1448453140000001e-4,Mg
2,2012,1167,ED,M,1.5768249300000004e-7,Mg
2,2012,1168,ED,M,7.14118e-10,Mg
2,2012,1180,ED,M,3.1932569999999997e-9,Mg
2,2012,1200,ED,M,1.226034404e-4,Mg
2,2012,1220,ED,M,0.0017568715780999999,Mg
