EmissionID,Year,TechID,ETypeID,ED_PFix,Value,Unit
4,2015,10,ED,M,1119656912.889099,Mg
4,2015,40,ED,M,187263909.597656,Mg
4,2015,70,ED,M,600519949.206916,Mg
4,2015,80,ED,M,839676032.868872,Mg
4,2015,81,ED,M,976086802.888112,Mg
4,2015,90,ED,M,1401255049.955429,Mg
4,2015,91,ED,M,88.06563483930721,Mg
4,2015,92,ED,M,302896946.9382225,Mg
4,2015,100,ED,M,773561233.050425,Mg
4,2015,110,ED,M,686957867.585273,Mg
4,2015,120,ED,M,1455650572.751966,Mg
4,2015,130,ED,M,437075913.001453,Mg
4,2015,140,ED,M,1780557389.995614,Mg
4,2015,150,ED,M,1482402551.410762,Mg
4,2015,160,ED,M,1747144773.174387,Mg
4,2015,161,ED,M,1136004203.074671,Mg
4,2015,162,ED,M,781507103.779122,Mg
4,2015,170,ED,M,920812100.79259,Mg
4,2015,171,ED,M,1689630377.195716,Mg
4,2015,181,ED,M,1183177755.124391,Mg
4,2015,190,ED,M,546702525.454804,Mg
4,2015,191,ED,M,368081108.91366,Mg
4,2015,192,ED,M,1141874176.215584,Mg
4,2015,200,ED,M,1156459076.441019,Mg
4,2015,210,ED,M,688740366.835863,Mg
4,2015,220,ED,M,1099836544.847532,Mg
4,2015,230,ED,M,1512907207.741339,Mg
4,2015,240,ED,M,1282970433.107007,Mg
4,2015,245,ED,M,1284947077.03752,Mg
4,2015,250,ED,M,1298911200.531983,Mg
4,2015,251,ED,M,1766726121.564678,Mg
4,2015,260,ED,M,981721061.872404,Mg
4,2015,265,ED,M,1564308834.422183,Mg
4,2015,266,ED,M,799324366.331839,Mg
4,2015,270,ED,M,539180310.416142,Mg
4,2015,280,ED,M,1335913401.288203,Mg
4,2015,290,ED,M,1906224232.701699,Mg
4,2015,295,ED,M,1276585818.659132,Mg
4,2015,300,ED,M,1582165978.531847,Mg
4,2015,305,ED,M,1059566209.71662,Mg
4,2015,310,ED,M,1379500670.881973,Mg
4,2015,320,ED,M,998383636.537385,Mg
4,2015,321,ED,M,1421896320.939041,Mg
4,2015,330,ED,M,928613938.103119,Mg
4,2015,340,ED,M,650029776.646907,Mg
4,2015,350,ED,M,1567119312.656408,Mg
4,2015,360,ED,M,1300708948.340811,Mg
4,2015,363,ED,M,1977195690.478494,Mg
4,2015,366,ED,M,1470372547.88994,Mg
4,2015,400,ED,M,766614067.011458,Mg
4,2015,401,ED,M,1363758750.371173,Mg
4,2015,461,ED,M,2112810238.42132,Mg
4,2015,462,ED,M,721379007.526677,Mg
4,2015,471,ED,M,1400686234.165184,Mg
4,2015,472,ED,M,883672056.623301,Mg
4,2015,611,ED,M,9505.331263847062,Mg
4,2015,612,ED,M,3900.816800733641,Mg
4,2015,620,ED,M,867962596.499247,Mg
4,2015,621,ED,M,660464277.561906,Mg
4,2015,630,ED,M,303692022.352687,Mg
4,2015,631,ED,M,3875.4454250837803,Mg
4,2015,632,ED,M,1742.680013681168,Mg
4,2015,670,ED,M,,Mg
4,2015,690,ED,M,808827287.550293,Mg
4,2015,700,ED,M,212508070.567213,Mg
4,2015,720,ED,M,169517861.889796,Mg
4,2015,810,ED,M,484336779.385799,Mg
4,2015,811,ED,M,,Mg
4,2015,850,ED,M,502499351.412791,Mg
4,2015,857,ED,M,823986936.807632,Mg
4,2015,865,ED,M,257727972.422555,Mg
4,2015,870,ED,M,10344887.350653,Mg
4,2015,890,ED,M,740195675.938365,Mg
4,2015,970,ED,M,854916398.402253,Mg
4,2015,980,ED,M,769424747.212321,Mg
4,2015,1040,ED,M,252506212.561036,Mg
4,2015,1110,ED,M,,Mg
4,2015,1131,ED,M,,Mg
4,2015,1132,ED,M,209580154.166335,Mg
4,2015,1142,ED,M,743996550.741044,Mg
4,2015,1152,ED,M,537466503.916383,Mg
4,2015,1153,ED,M,644609152.872898,Mg
4,2015,1158,ED,M,473375178.752214,Mg
4,2015,1159,ED,M,428586506.811105,Mg
4,2015,1163,ED,M,107146626.702776,Mg
4,2015,1167,ED,M,,Mg
4,2015,1168,ED,M,107146626.702776,Mg
4,2015,1180,ED,M,157876730.890932,Mg
4,2015,1200,ED,M,1278683826.843758,Mg
4,2015,1220,ED,M,1555660382.833243,Mg
4,2015,1221,ED,M,1088897685.301752,Mg
4,2015,1222,ED,M,833450775.85577,Mg
4,2015,1301,ED,M,423894832.228375,Mg
4,2015,1302,ED,M,488266600.453922,Mg
4,2015,1410,ED,M,1018967823.206141,Mg
4,2015,1461,ED,M,1319031316.757202,Mg
4,2015,1464,ED,M,1190796499.613906,Mg
4,2015,1471,ED,M,321202657.495449,Mg
4,2015,1472,ED,M,316704108.190231,Mg
4,2015,1480,ED,M,1019484496.116638,Mg
