EmissionID,Year,TechID,ETypeID,Value
14,2015,10,ET,1.25492574448846e-6
14,2015,25,ET,1.86696777171063e-6
14,2015,40,ET,1.08386590893112e-4
14,2015,50,ET,1.68810192165326e-16
14,2015,70,ET,1.95915759787165e-6
14,2015,80,ET,1.3653675446349e-5
14,2015,81,ET,1.37997055612942e-5
14,2015,90,ET,1.84367011881469e-6
14,2015,91,ET,3.99635731749121e-13
14,2015,92,ET,1.09571055211266e-9
14,2015,100,ET,1.89676402025572e-6
14,2015,110,ET,1.89676402025572e-6
14,2015,120,ET,1.84538201423888e-6
14,2015,130,ET,9.455607969874629e-7
14,2015,140,ET,1.37118839515366e-5
14,2015,150,ET,9.20697217272822e-7
14,2015,160,ET,9.432653005710489e-7
14,2015,161,ET,8.14811960371647e-9
14,2015,162,ET,1.13992234751202e-8
14,2015,170,ET,9.432653005710489e-7
14,2015,171,ET,1.27960750323631e-5
14,2015,181,ET,9.1191124151644e-7
14,2015,190,ET,1.25299879176289e-7
14,2015,191,ET,4.47296447819988e-9
14,2015,192,ET,4.56815579271934e-9
14,2015,200,ET,1.14879084639196e-5
14,2015,210,ET,1.28494169870434e-7
14,2015,220,ET,1.31912650043842e-7
14,2015,230,ET,1.31912650043842e-7
14,2015,240,ET,1.27513603800511e-7
14,2015,245,ET,1.0492762884821999e-5
14,2015,250,ET,2.14133996100219e-7
14,2015,251,ET,6.92197974491783e-6
14,2015,260,ET,7.05148800231373e-6
14,2015,265,ET,9.494117415379e-6
14,2015,266,ET,1.31275113571026e-5
14,2015,270,ET,7.69854442500936e-8
14,2015,276,ET,2.20957708046548e-9
14,2015,280,ET,7.69854442500936e-8
14,2015,290,ET,7.83907599092523e-8
14,2015,291,ET,4.86251925415469e-28
14,2015,295,ET,1.44161034861312e-8
14,2015,300,ET,7.65124372809691e-8
14,2015,305,ET,1.40109063314014e-8
14,2015,310,ET,6.81504504334444e-8
14,2015,320,ET,3.54876058326345e-7
14,2015,321,ET,1.40116860124388e-6
14,2015,330,ET,6.91143953740896e-8
14,2015,340,ET,6.865693974271649e-8
14,2015,350,ET,7.06310983518471e-8
14,2015,360,ET,6.889060145445509e-8
14,2015,361,ET,3.47904306445006e-28
14,2015,363,ET,5.83565887894125e-6
14,2015,364,ET,2.09047114998972e-9
14,2015,366,ET,5.989904851893279e-6
14,2015,386,ET,1.54375316396777e-28
14,2015,400,ET,7.50796107634841e-8
14,2015,401,ET,3.5504842926476896e-7
14,2015,411,ET,2.30563506791544e-28
14,2015,420,ET,8.45630782226079e-36
14,2015,433,ET,4.09543338421433e-28
14,2015,444,ET,6.06740907781619e-28
14,2015,461,ET,1.5863111290234e-7
14,2015,462,ET,6.469396830323631e-7
14,2015,471,ET,2.54773484501702e-8
14,2015,472,ET,1.50062564380451e-7
14,2015,515,ET,1.2306660099576902e-9
14,2015,521,ET,4.47958639201433e-28
14,2015,531,ET,1.61690084749483e-28
14,2015,541,ET,1.25276831471326e-28
14,2015,551,ET,4.2184219973149e-28
14,2015,611,ET,7.44273249237873e-10
14,2015,612,ET,2.64556104214619e-9
14,2015,620,ET,2.3466071935182e-7
14,2015,621,ET,1.75242134060163e-6
14,2015,630,ET,4.30707804571536e-7
14,2015,631,ET,3.0980637252537796e-10
14,2015,632,ET,1.1645993807269501e-9
14,2015,641,ET,7.21425360237012e-11
14,2015,642,ET,2.4857300221278297e-10
14,2015,670,ET,1.54351703965991e-8
14,2015,690,ET,8.36644440560742e-9
14,2015,700,ET,4.29779574015469e-7
14,2015,720,ET,4.29779574015469e-7
14,2015,730,ET,1.79949045091829e-4
14,2015,810,ET,3.93525880907859e-7
14,2015,811,ET,4.52411374742909e-10
14,2015,850,ET,3.7690175324541297e-7
14,2015,857,ET,2.46230071532039e-8
14,2015,865,ET,1.65446738433263e-8
14,2015,870,ET,1.40351281083538e-5
14,2015,890,ET,4.43512615843936e-4
14,2015,970,ET,1.39356093157891e-5
14,2015,980,ET,1.1792172770408399e-5
14,2015,981,ET,1.2511159071950701e-5
14,2015,991,ET,1.82942625140229e-8
14,2015,1040,ET,1.1792172770408399e-5
14,2015,1050,ET,9.925743497283071e-7
14,2015,1051,ET,9.92262882030585e-7
14,2015,1110,ET,1.25014305398496e-10
14,2015,1131,ET,2.4287284230090302e-6
14,2015,1132,ET,6.52283790656481e-6
14,2015,1142,ET,2.3155671843755498e-7
14,2015,1151,ET,9.13622823854135e-6
14,2015,1152,ET,3.38729538359078e-6
14,2015,1153,ET,1.9637449332174602e-5
14,2015,1158,ET,3.381520678946e-6
