EmissionID,Year,TechID,ED_PFix,Value,Unit
1,2015,10,M,1080102976.757813,Mg
1,2015,40,M,7546728.915625,Mg
1,2015,70,M,941632562.988282,Mg
1,2015,80,M,417113407.226563,Mg
1,2015,81,M,1005966107.177735,Mg
1,2015,90,M,1246504982.910157,Mg
1,2015,91,M,679933502.397034,Mg
1,2015,92,M,166643306.985497,Mg
1,2015,100,M,842040349.570313,Mg
1,2015,110,M,842040349.570313,Mg
1,2015,120,M,1248579606.933594,Mg
1,2015,130,M,1036614398.19336,Mg
1,2015,140,M,819782463.867188,Mg
1,2015,150,M,979299993.896485,Mg
1,2015,160,M,1030460098.266602,Mg
1,2015,161,M,1415664559.602737,Mg
1,2015,162,M,413322970.271111,Mg
1,2015,170,M,1030460098.266602,Mg
1,2015,171,M,777918905.639649,Mg
1,2015,181,M,960319493.103028,Mg
1,2015,190,M,860040809.363037,Mg
1,2015,191,M,579347878.694534,Mg
1,2015,192,M,716146850.585937,Mg
1,2015,200,M,253928799.374106,Mg
1,2015,210,M,1154358869.934082,Mg
1,2015,220,M,1445497524.261475,Mg
1,2015,230,M,1445497524.261475,Mg
1,2015,240,M,921828578.186035,Mg
1,2015,245,M,1349181924.438478,Mg
1,2015,250,M,2051121974.945069,Mg
1,2015,251,M,830186175.537109,Mg
1,2015,260,M,403789715.332032,Mg
1,2015,265,M,406335293.046875,Mg
1,2015,266,M,1209902969.360351,Mg
1,2015,270,M,757069818.496703,Mg
1,2015,280,M,757069818.496703,Mg
1,2015,290,M,797762826.919556,Mg
1,2015,295,M,1013261984.825134,Mg
1,2015,300,M,743461240.768432,Mg
1,2015,305,M,1329765120.983123,Mg
1,2015,310,M,565507438.278199,Mg
1,2015,320,M,1471932112.121582,Mg
1,2015,321,M,800927501.678467,Mg
1,2015,330,M,695507341.384888,Mg
1,2015,340,M,682280033.111572,Mg
1,2015,350,M,398001579.666138,Mg
1,2015,360,M,688811368.942261,Mg
1,2015,363,M,583959782.714844,Mg
1,2015,366,M,778659428.405762,Mg
1,2015,400,M,1414042705.53589,Mg
1,2015,401,M,1400916733.741761,Mg
1,2015,461,M,992811557.769775,Mg
1,2015,462,M,949072794.723511,Mg
1,2015,471,M,1649251241.68396,Mg
1,2015,472,M,677879854.011536,Mg
1,2015,611,M,393662959.337234,Mg
1,2015,612,M,656722253.56102,Mg
1,2015,620,M,1662884452.056885,Mg
1,2015,621,M,973467683.792114,Mg
1,2015,630,M,106837598.876953,Mg
1,2015,631,M,557194437.980652,Mg
1,2015,632,M,721730224.788189,Mg
1,2015,670,M,282907598.495483,Mg
1,2015,690,M,203871047.019958,Mg
1,2015,700,M,106569496.459961,Mg
1,2015,720,M,106569496.459961,Mg
1,2015,810,M,962791857.910156,Mg
1,2015,811,M,161787267.774343,Mg
1,2015,850,M,91560556.640625,Mg
1,2015,857,M,698016109.466553,Mg
1,2015,865,M,469606887.817383,Mg
1,2015,870,M,3121794.453125,Mg
1,2015,890,M,9197.484125,Mg
1,2015,970,M,30930712.109375,Mg
1,2015,980,M,2474.456875,Mg
