EmissionID,Year,TechID,ETypeID,ED_PFix,Value,Unit
5,2012,10,ED,M,9.098207739999999e-7,Mg
5,2012,30,ED,M,6.239105829399999e-5,Mg
5,2012,40,ED,M,2.5816300192e-5,Mg
5,2012,70,ED,M,8.480943991999998e-6,Mg
5,2012,80,ED,M,1.0705800904000002e-4,Mg
5,2012,90,ED,M,1.956898947e-6,Mg
5,2012,100,ED,M,7.788693548e-5,Mg
5,2012,110,ED,M,1.9749767041e-4,Mg
5,2012,120,ED,M,1.8404220891e-4,Mg
5,2012,130,ED,M,1.2932525680000002e-5,Mg
5,2012,140,ED,M,2.0502582074000003e-4,Mg
5,2012,150,ED,M,2.9840600699999993e-6,Mg
5,2012,160,ED,M,9.818350435e-5,Mg
5,2012,161,ED,M,1.9107190000000005e-8,Mg
5,2012,170,ED,M,3.873109145400001e-4,Mg
5,2012,181,ED,M,3.4586520956e-4,Mg
5,2012,190,ED,M,1.786415856e-6,Mg
5,2012,191,ED,M,2.8766662999999997e-8,Mg
5,2012,200,ED,M,9.067088354e-5,Mg
5,2012,210,ED,M,4.1219884e-7,Mg
5,2012,220,ED,M,1.5965668111999996e-5,Mg
5,2012,230,ED,M,9.685452103e-5,Mg
5,2012,240,ED,M,1.2032706762000001e-4,Mg
5,2012,250,ED,M,9.637682318999999e-6,Mg
5,2012,260,ED,M,4.1919287201000005e-5,Mg
5,2012,261,ED,M,4.3495918600000004e-7,Mg
5,2012,265,ED,M,4.1069128034000004e-5,Mg
5,2012,270,ED,M,1.9063253959999999e-6,Mg
5,2012,280,ED,M,9.965817093999999e-5,Mg
5,2012,290,ED,M,1.5898615123e-4,Mg
5,2012,291,ED,M,4.13280405e-7,Mg
5,2012,295,ED,M,1.9523603249e-4,Mg
5,2012,300,ED,M,1.5785097217e-4,Mg
5,2012,302,ED,M,1.34725597e-7,Mg
5,2012,305,ED,M,1.4903565406999998e-4,Mg
5,2012,310,ED,M,2.633251324e-6,Mg
5,2012,320,ED,M,3.670431949e-6,Mg
5,2012,330,ED,M,4.84088017e-7,Mg
5,2012,340,ED,M,5.0056233761e-5,Mg
5,2012,350,ED,M,1.06071018225e-4,Mg
5,2012,351,ED,M,9.225970000000001e-11,Mg
5,2012,360,ED,M,1.1598500061999999e-4,Mg
5,2012,361,ED,M,1.10992255e-7,Mg
5,2012,362,ED,M,2.798902e-10,Mg
5,2012,363,ED,M,4.1672059897e-5,Mg
5,2012,386,ED,M,1.6472149999999999e-9,Mg
5,2012,400,ED,M,5.897232940000001e-7,Mg
5,2012,410,ED,M,1.0886537499999999e-7,Mg
5,2012,411,ED,M,2.2265351e-8,Mg
5,2012,430,ED,M,2.546064e-9,Mg
5,2012,431,ED,M,5.09444416e-7,Mg
5,2012,442,ED,M,1.100659619e-6,Mg
5,2012,460,ED,M,2.3278391000000004e-8,Mg
5,2012,461,ED,M,3.99149516e-7,Mg
5,2012,470,ED,M,1.2965599999999999e-10,Mg
5,2012,471,ED,M,1.8336984000000004e-7,Mg
5,2012,611,ED,M,2.6643960000000004e-10,Mg
5,2012,620,ED,M,7.55892602e-7,Mg
5,2012,630,ED,M,8.402135658e-5,Mg
5,2012,631,ED,M,1.429555e-9,Mg
5,2012,640,ED,M,5.169080942999999e-6,Mg
5,2012,660,ED,M,7.59054e-12,Mg
5,2012,670,ED,M,3.103235886e-6,Mg
5,2012,690,ED,M,3.50650862e-7,Mg
5,2012,691,ED,M,1.5208600000000003e-10,Mg
5,2012,700,ED,M,2.3902966979999998e-5,Mg
5,2012,720,ED,M,1.145328522e-6,Mg
5,2012,810,ED,M,1.9489228129999997e-6,Mg
5,2012,811,ED,M,3.359315e-9,Mg
5,2012,850,ED,M,8.506809770000001e-7,Mg
5,2012,852,ED,M,1.7230081999999996e-8,Mg
5,2012,853,ED,M,4.131780000000001e-10,Mg
5,2012,857,ED,M,1.4775e-10,Mg
5,2012,865,ED,M,1.1602737e-7,Mg
5,2012,870,ED,M,7.069796143e-4,Mg
5,2012,890,ED,M,6.360744934e-4,Mg
5,2012,970,ED,M,1.1516466520000002e-4,Mg
5,2012,980,ED,M,8.047026671999999e-4,Mg
5,2012,991,ED,M,2.44076364e-7,Mg
5,2012,1040,ED,M,5.873573913999999e-4,Mg
5,2012,1041,ED,M,1.6322658360000002e-6,Mg
5,2012,1130,ED,M,5.674517212e-4,Mg
