TDVSID,ScenarioID,CountryID,Year,TechID,VehCatID,NumVeh,VehTypeID,VehTypeNA,MassCatID,MassCatNA,FuelID,FuelNA,EngineID,EngineNA,TransTypeID,TransTypeNA,HybridFlag,HybridNA,SecondHandImportFlag,SecondHandImportNA,VehCatNA
0,1,9,2012,10,S,441.1794974942412,2,Motorcycle,4,Average moto,1,Gasoline,10,2-Stroke Standard 1,1,Passenger Transport,0,Not hybrid,0,Not second-hand import,Scrapped
0,1,9,2012,10,T,11580.503410290536,2,Motorcycle,4,Average moto,1,Gasoline,10,2-Stroke Standard 1,1,Passenger Transport,0,Not hybrid,0,Not second-hand import,Total
0,1,9,2012,20,S,4.6391566454001624e-4,2,Motorcycle,4,Average moto,12,Electricity,10,2-Stroke Standard 1,1,Passenger Transport,0,Not hybrid,0,Not second-hand import,Scrapped
0,1,9,2012,20,T,0.012177304171672176,2,Motorcycle,4,Average moto,12,Electricity,10,2-Stroke Standard 1,1,Passenger Transport,0,Not hybrid,0,Not second-hand import,Total
0,1,9,2012,25,N,405.5742492675781,2,Motorcycle,4,Average moto,12,Electricity,11,2-Stroke Standard 2,1,Passenger Transport,0,Not hybrid,0,Not second-hand import,New
0,1,9,2012,25,S,24.054862533946526,2,Motorcycle,4,Average moto,12,Electricity,11,2-Stroke Standard 2,1,Passenger Transport,0,Not hybrid,0,Not second-hand import,Scrapped
0,1,9,2012,25,T,631.4151477813721,2,Motorcycle,4,Average moto,12,Electricity,11,2-Stroke Standard 2,1,Passenger Transport,0,Not hybrid,0,Not second-hand import,Total
0,1,9,2012,30,S,30253.933061457283,2,Motorcycle,4,Average moto,1,Gasoline,11,2-Stroke Standard 2,1,Passenger Transport,0,Not hybrid,0,Not second-hand import,Scrapped
0,1,9,2012,30,T,794134.30810546875,2,Motorcycle,4,Average moto,1,Gasoline,11,2-Stroke Standard 2,1,Passenger Transport,0,Not hybrid,0,Not second-hand import,Total
0,1,9,2012,40,N,154185.90625,2,Motorcycle,4,Average moto,1,Gasoline,12,2-Stroke Economic,1,Passenger Transport,0,Not hybrid,0,Not second-hand import,New
0,1,9,2012,40,S,12518.534349320778,2,Motorcycle,4,Average moto,1,Gasoline,12,2-Stroke Economic,1,Passenger Transport,0,Not hybrid,0,Not second-hand import,Scrapped
0,1,9,2012,40,T,328598.51953125,2,Motorcycle,4,Average moto,1,Gasoline,12,2-Stroke Economic,1,Passenger Transport,0,Not hybrid,0,Not second-hand import,Total
0,1,9,2012,70,S,3193.542419007844,3,Car,1,Small,1,Gasoline,1,Conventional (pre-EURO),1,Passenger Transport,0,Not hybrid,0,Not second-hand import,Scrapped
